date,realtime_end,realtime_start,value
1987-12-01,2019-09-15,2019-09-15,115.6
1988-01-01,2019-09-15,2019-09-15,116.0
1988-02-01,2019-09-15,2019-09-15,116.2
1988-03-01,2019-09-15,2019-09-15,116.5
1988-04-01,2019-09-15,2019-09-15,117.2
1988-05-01,2019-09-15,2019-09-15,117.5
1988-06-01,2019-09-15,2019-09-15,118.0
1988-07-01,2019-09-15,2019-09-15,118.5
1988-08-01,2019-09-15,2019-09-15,119.0
1988-09-01,2019-09-15,2019-09-15,119.5
1988-10-01,2019-09-15,2019-09-15,119.9
1988-11-01,2019-09-15,2019-09-15,120.3
1988-12-01,2019-09-15,2019-09-15,120.7
1989-01-01,2019-09-15,2019-09-15,121.2
1989-02-01,2019-09-15,2019-09-15,121.6
1989-03-01,2019-09-15,2019-09-15,122.2
1989-04-01,2019-09-15,2019-09-15,123.1
1989-05-01,2019-09-15,2019-09-15,123.7
1989-06-01,2019-09-15,2019-09-15,124.1
1989-07-01,2019-09-15,2019-09-15,124.5
1989-08-01,2019-09-15,2019-09-15,124.5
1989-09-01,2019-09-15,2019-09-15,124.8
1989-10-01,2019-09-15,2019-09-15,125.4
1989-11-01,2019-09-15,2019-09-15,125.9
1989-12-01,2019-09-15,2019-09-15,126.3
1990-01-01,2019-09-15,2019-09-15,127.5
1990-02-01,2019-09-15,2019-09-15,128.0
1990-03-01,2019-09-15,2019-09-15,128.6
1990-04-01,2019-09-15,2019-09-15,128.9
1990-05-01,2019-09-15,2019-09-15,129.1
1990-06-01,2019-09-15,2019-09-15,129.9
1990-07-01,2019-09-15,2019-09-15,130.5
1990-08-01,2019-09-15,2019-09-15,131.6
1990-09-01,2019-09-15,2019-09-15,132.5
1990-10-01,2019-09-15,2019-09-15,133.4
1990-11-01,2019-09-15,2019-09-15,133.7
1990-12-01,2019-09-15,2019-09-15,134.2
1991-01-01,2019-09-15,2019-09-15,134.7
1991-02-01,2019-09-15,2019-09-15,134.8
